General:;(395 respostas)
1000+;09,87%
300 até 400;09,87%
0;11,90%
200 até 300;11,14%
0 até 100;06,58%
100 até 200;08,86%
400 até 500;16,20%
600 até 700;03,54%
900 até 1000;11,65%
700 até 800;05,82%
500 até 600;03,80%
800 até 900;00,51%

Brasileiros:;(85.32%)
1000+;09,79%
300 até 400;10,09%
0;13,06%
200 até 300;10,68%
0 até 100;07,12%
100 até 200;09,50%
600 até 700;02,97%
400 até 500;14,24%
900 até 1000;12,17%
700 até 800;05,93%
500 até 600;03,56%
800 até 900;00,59%

Estrangeiros:;(14.68%)
200 até 300;13,79%
400 até 500;27,59%
100 até 200;05,17%
500 até 600;05,17%
300 até 400;08,62%
0;05,17%
700 até 800;05,17%
0 até 100;03,45%
1000+;10,34%
900 até 1000;08,62%
600 até 700;06,90%
