"start";"end";"deviceid";"1- Onde o sr.(a) reside (mora)?";"1.1- Estado:";"1.1- País:";"2- Sexo:";"3- Qual a sua faixa etária?";"4- Qual sua escolaridade?";"5- Qual sua profissão? (ocupação principal)*";"6- Qual moeda você recebe seus rendimentos?";"6.1- Faixa de renda?";"6.1- Valor mensal/anual:";"7- Qual seu estado civil?";"8- Qual sua orientação sexual?";"9- Com quem está viajando?";"10- Com quantas pessoas está viajando?";"11- Quanto tempo passou ou está programado para passar nessa cidade?";"11.1- Quantos dias?";"11.1- Quantos meses?";"12- Qual meio de transporte você utilizou para chegar até este destino?";"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus de linha";"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus fretado";"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro alugado";"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião Fretado (charter)";"12- Qual meio de transporte você utilizou para chegar até este destino?/Outros";"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro próprio";"12- Qual meio de transporte você utilizou para chegar até este destino?/Moto";"12- Qual meio de transporte você utilizou para chegar até este destino?/Transfer/receptivo";"12- Qual meio de transporte você utilizou para chegar até este destino?/Transporte coletivo/van";"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião";"12.1- Qual?";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Outros";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro alugado";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Buggy";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro/moto própria";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Moto táxi";"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Quadriciclo";"13.1- Quais?";"14- Qual o meio de hospedagem utilizado?";"15- Qual foi o motivo/ atrativo da sua viagem?";"15.1- Quais?";"16- Qual foi a influência para sua escolha por essa cidadel?";"16.1- Qual?";"17- Como organizou a viagem?";"17.1- Quais?";"18- Você usou algum serviço especializado em informações turísticas?";"18.1- Onde?";"19- Você utilizou algum serviço de guia ou acompanhante de turismo?";"19.1- Para quais serviços?";"19.1- Para quais serviços?/Concierge";"19.1- Para quais serviços?/Passeios de buggy";"19.1- Para quais serviços?/Outros";"19.1- Para quais serviços?/Passeios em atrativos turísticos";"19.1- Para quais serviços?/City tour/receptivo";"19.2- Quais?";"20- Você fez algum passeio?";"20.1- Quais?";"20.1- Quais?/Outros";"20.1- Quais?/Jardineira";"20.1- Quais?/Catamarã/lancha";"20.1- Quais?/Buggy";"20.1- Quais?/Quatriciclo";"20.1- Quais?/Pau de arara";"20.2- Quais?";"20.3- Como ficou sabendo do passeio?";"Condições do transporte";"Condutor/guia";"Roteiro do passeio";"Preço do passeio";"20.1- Por quê?";"21- Quais os atrativos visitados?";"21- Quais os atrativos visitados?/Santuario ecológico";"21- Quais os atrativos visitados?/Nenhum";"21- Quais os atrativos visitados?/Praias";"21- Quais os atrativos visitados?/Mirantes";"21- Quais os atrativos visitados?/Outros";"21- Quais os atrativos visitados?/Chapadão";"21- Quais os atrativos visitados?/Fazenda do camarão";"21- Quais os atrativos visitados?/Lagoa Guaraira";"21- Quais os atrativos visitados?/Projeto Tamar";"22- Viajou para outros municípios ou localidades do RN? Quais?";"22.1- Quais?";"23- É sua primeira vez nessa cidade?";"24- Retornaria a essa cidade?";"24.1- Por quê?";"25- Recomendaria a cidade aos amigos?";"Hospedagem";"Alimentação";"Transporte";"Passeios e lazer";"Compras";"Outros";"27- Como avalia os preços dos bens e serviços adquiridos nesta localidade?";"28- Qualifique os itens abaixo, em uma escala de 1 a 5 para os seguintes quesitos nesta localidade, quanto à:";"Atrativos naturais";"Patrimônio cultural";"Manifestações culturais";"Equipamentos de lazer";"Passeios diversos";"Serviços de receptivo";"Informações turísticas";"Guias de turismo";"Meios de hospedagem";"Locadora de veículos";"Restaurantes/bares";"Locadora de veículos";"Compras/comércio";"Diversões noturnas";"Acolhida do povo";"Atendimento dos serviços";"Acessibilidade";"Comunicações";"Sinalização urbana e turística";"Limpeza pública";"Segurança pública";"Transporte público";"Táxi/ Uber/ Transfer";"Rodoviária";"Aeroporto (acesso)";"Aeroporto (estrutura)";"Nome";"Identificação (Companhia/vôo, ônibus/linha ou placa do veículo)";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2016-12-16T17:52:24.398-02";"2016-12-17T09:59:56.637-02";"866523028526360";"Brasileiro";"RN";"";"Feminino";"36 a 50 anos";"Médio Completo";"Funcionário público";"Real";"R$881,00 a R$1.800,00";"";"Casado(a)";"Heterossexual";"Família";"02- duas";"Dias";"1";"";"Moto Ônibus de linha";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"A pé";"Pousada/chalés";"Sol e praia";"";"Empresa/trabalho";"";"Outros";"Conta propria";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Falta de interesse";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Sim";"Baia formosa";"Não";"Sim";"Gostou";"Sim";"300";"100";"60";"0";"";"";"Elevados";"";"5";"4";"4";"5";"5";"5";"5";"5";"4";"5";"5";"4";"4";"4";"5";"5";"5";"4";"5";"4";"3";"3";"4";"5";"3";"5";"Gilmar ( centro) ";"";"vHZpya9YwWnPpMmMnrYA6m";"5405026";"eee221c2-61a8-490e-a57c-e0b4300e0dcc";"2016-12-18T15:46:16";"1"
"2016-12-17T10:01:09.178-02";"2016-12-17T10:13:39.400-02";"866523028526360";"Brasileiro";"PB";"";"Feminino";"26 a 35 anos";"Superior Incompleto";"Estudante";"Real";"Até R$880,00";"";"Solteiro(a)";"Heterossexual";"Família";"Grupos";"Dias";"2";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"Taxi";"Hotel/resort";"Sol e praia";"";"Já conhecia o local";"";"Sozinho/internet";"";"Não";"";"Sim";"Passeios em atrativos turísticos";"0";"0";"0";"1";"0";"";"Sim";"Catamarã/lancha";"0";"0";"1";"0";"0";"0";"";"Propaganda";"4";"4";"4";"4";"";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Não";"";"Não";"Sim";"Gostam";"Sim";"250";"200";"100";"0";"";"";"Elevados";"";"5";"4";"4";"4";"5";"5";"5";"4";"5";"?";"4";"?";"5";"5";"5";"5";"5";"5";"3";"4";"5";"?";"3";"?";"?";"?";"Cintia (centro)";"";"vHZpya9YwWnPpMmMnrYA6m";"5405027";"d4144623-1500-46dd-bbae-c261fd2d5de1";"2016-12-18T15:46:16";"2"
"2016-12-17T10:21:48.798-02";"2016-12-17T10:44:32.088-02";"866523028526360";"Brasileiro";"PB";"";"Masculino";"36 a 50 anos";"Superior";"Outros";"Real";"R$3.501,00 a R$8.800,00";"";"Solteiro(a)";"Heterossexual";"Amigos";"Grupos";"Dias";"2";"";"Carro próprio Ônibus fretado";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"A pe";"Hotel/resort";"Sol e praia";"";"Comentários";"";"Sozinho/internet";"";"Sim";"Site do hotel";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Falta de tempo";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Sim";"Sibauma";"Não";"Sim";"Belezas naturais e vida noturna";"Sim";"1000";"800";"0";"0";"";"";"Elevados";"";"5";"2";"?";"5";"5";"5";"5";"?";"5";"?";"5";"?";"3";"5";"5";"5";"5";"1";"3";"3";"3";"?";"?";"?";"?";"?";"Jeferson saldanha centro";"";"vHZpya9YwWnPpMmMnrYA6m";"5405028";"8b9e4c17-25b9-4902-be71-966b70f660df";"2016-12-18T15:46:17";"3"
"2016-12-17T10:45:18.406-02";"2016-12-17T11:05:41.306-02";"866523028526360";"Brasileiro";"CE";"";"Masculino";"Acima de 65 anos";"Superior";"Aposentado/Pensionista";"Real";"R$3.501,00 a R$8.800,00";"";"Casado(a)";"Heterossexual";"Família";"Grupos";"Dias";"2";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"A pe";"Hotel/resort";"Outros";"Ferias";"Comentários";"";"Sozinho/internet";"";"Sim";"Bancobras";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Viajava com crianças";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Não";"";"Não";"Sim";"Boa estrutura";"Sim";"500";"600";"0";"0";"";"";"Elevados";"";"5";"?";"?";"5";"?";"?";"?";"?";"5";"?";"2";"?";"5";"5";"5";"5";"4";"4";"5";"4";"?";"?";"?";"?";"?";"?";"Luciano Rebouças centro";"";"vHZpya9YwWnPpMmMnrYA6m";"5405029";"6e5981b1-3f43-478f-9ffa-9410ff201030";"2016-12-18T15:46:17";"4"
"2016-12-17T20:01:13.877-02";"2016-12-17T20:11:09.164-02";"866523028526360";"Brasileiro";"PE";"";"Feminino";"18 a 25 anos";"Superior Incompleto";"Estudante";"Real";"R$8.801,00 a R$18.000,00";"";"Solteiro(a)";"Heterossexual";"Companheiro(a)";"01- uma";"Dias";"5";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"Carro proprio";"Pousada/chalés";"Aventura e natureza";"";"Internet";"";"Sozinho/internet";"";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Falta de interesse";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Não";"";"Não";"Sim";"Praias bonitas";"Sim";"500";"200";"0";"0";"0";"";"Elevados";"";"5";"5";"5";"5";"?";"5";"5";"?";"5";"?";"5";"?";"?";"5";"5";"5";"5";"5";"5";"5";"5";"?";"?";"?";"?";"?";"Rafaela";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409680";"bb0bc9f9-cde5-4ac9-aae1-1b30dec989b9";"2016-12-19T00:51:49";"5"
"2016-12-17T20:11:14.298-02";"2016-12-17T20:19:23.888-02";"866523028526360";"Brasileiro";"PR";"";"Masculino";"18 a 25 anos";"Superior";"E-commerce/Digital Influencer";"Real";"R$1.801,00 a R$3.500,00";"";"Solteiro(a)";"Heterossexual";"Família";"Grupos";"Dias";"5";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"Carro proprio";"Pousada/chalés";"Sol e praia";"";"Comentários";"";"Sozinho/internet";"";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Falta de tempo";"Praias Santuario ecológico";"1";"0";"1";"0";"0";"0";"0";"0";"0";"Não";"";"Sim";"Sim";"Belezas naturais";"Sim";"1000";"200";"0";"0";"100";"0";"Normais";"";"5";"4";"1";"2";"4";"3";"?";"?";"5";"?";"?";"?";"3";"?";"5";"5";"1";"4";"3";"4";"4";"?";"?";"?";"?";"?";"Bruno azevedo";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409681";"d87c859d-9d72-4943-809f-4d71c012f413";"2016-12-19T00:51:50";"6"
"2016-12-17T20:19:31.052-02";"2016-12-17T20:34:40.455-02";"866523028526360";"Brasileiro";"RN";"";"Feminino";"26 a 35 anos";"Pós-Graduação";"Estudante";"Real";"Acima de R$18.000,00";"";"Solteiro(a)";"Heterossexual";"Companheiro(a)";"01- uma";"Dias";"2";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"A pe";"Hotel/resort";"Sol e praia";"";"Comentários";"";"Sozinho/internet";"";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Já fez anteriormente";"Praias Chapadão";"0";"0";"1";"0";"0";"1";"0";"0";"0";"Não";"";"Não";"Sim";"Agradavel";"Sim";"400";"250";"100";"0";"0";"0";"Normais";"";"5";"1";"1";"5";"5";"2";"?";"?";"5";"?";"5";"?";"?";"?";"2";"3";"1";"1";"4";"5";"5";"?";"?";"?";"?";"?";"Marina";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409682";"29ac2df8-a81d-477a-80c5-0c387a2fb93c";"2016-12-19T00:51:50";"7"
"2016-12-17T20:34:46.766-02";"2016-12-17T20:46:12.738-02";"866523028526360";"Brasileiro";"CE";"";"Masculino";"26 a 35 anos";"Superior";"Iniciativa privada";"Real";"R$3.501,00 a R$8.800,00";"";"Casado(a)";"Heterossexual";"Família";"05- cinco";"Dias";"3";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"Carro proprio";"Flat/ apart-hotel";"Sol e praia";"";"Internet";"";"Sozinho/internet";"";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Outros";"Praias";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Sim";"Açu";"Sim";"Sim";"Belezas naturais";"Sim";"450";"600";"200";"0";"100";"0";"Normais";"";"5";"3";"?";"4";"?";"?";"?";"?";"5";"?";"5";"?";"4";"5";"5";"4";"3";"4";"3";"3";"2";"?";"?";"?";"?";"?";"Geraldo";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409683";"487a6ed9-e2de-41cd-838e-1d59f904b8f1";"2016-12-19T00:51:51";"8"
"2016-12-17T21:05:47.960-02";"2016-12-17T21:13:46.240-02";"866523028526360";"Brasileiro";"PE";"";"Masculino";"18 a 25 anos";"Superior Incompleto";"Empresário";"Real";"R$3.501,00 a R$8.800,00";"";"Solteiro(a)";"Heterossexual";"Família";"04- quatro";"Dias";"2";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Carro/moto própria";"0";"0";"0";"1";"0";"0";"";"Hotel/resort";"Aventura e natureza";"";"Já conhecia o local";"";"Sozinho/internet";"";"Sim";"Caruaru";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Já fez anteriormente";"Praias Chapadão Lagoa Guaraira";"0";"0";"1";"0";"0";"1";"0";"1";"0";"Sim";"Natal";"Não";"Sim";"Vida noturna, natureza";"Sim";"500";"200";"0";"200";"0";"0";"Normais";"";"5";"5";"4";"5";"4";"?";"?";"?";"4";"?";"5";"?";"?";"5";"5";"5";"4";"3";"5";"5";"5";"?";"?";"?";"?";"?";"Pablo";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409684";"d4791237-b7ac-47da-bc63-36d58282f702";"2016-12-19T00:51:51";"9"
"2016-12-17T21:15:16.324-02";"2016-12-17T21:23:48.210-02";"866523028526360";"Brasileiro";"PB";"";"Masculino";"18 a 25 anos";"Superior Incompleto";"Estudante";"Real";"R$3.501,00 a R$8.800,00";"";"Solteiro(a)";"Heterossexual";"Companheiro(a)";"02- duas";"Dias";"5";"";"Carro próprio";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Outros";"1";"0";"0";"0";"0";"0";"Carro proprio";"Pousada/chalés";"Sol e praia";"";"Comentários";"";"Sozinho/internet";"";"Não";"";"Não";"";"";"";"";"";"";"";"Não";"";"";"";"";"";"";"";"";"";"";"";"";"";"Falta de tempo";"Praias Chapadão";"0";"0";"1";"0";"0";"1";"0";"0";"0";"Sim";"Natal";"Sim";"Sim";"Cidade aconchegante";"Sim";"350";"900";"200";"0";"0";"0";"Normais";"";"5";"5";"1";"5";"4";"?";"5";"?";"4";"?";"5";"?";"?";"4";"5";"4";"2";"5";"5";"5";"?";"?";"?";"?";"?";"?";"Matheus";"Centro";"vHZpya9YwWnPpMmMnrYA6m";"5409685";"b01e599b-0b57-42f9-8323-d1a8b2c612d3";"2016-12-19T00:51:52";"10"
