"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"Estrangeiro","11.99"
"Brasileiro","88.01"


"1.1- Estado:","PERCENTUAL"
"RJ","4.66"
"AL","0.62"
"MT","1.55"
"AC","0.93"
"RN","16.77"
"MG","4.35"
"ES","1.24"
"PR","5.59"
"MA","1.55"
"GO","6.21"
"CE","7.14"
"MS","0.62"
"SE","0.31"
"BA","4.04"
"RS","0.62"
"PB","15.53"
"SP","12.11"
"PA","2.48"
"AM","1.24"
"SC","0.93"
"DF","2.48"
"PE","7.76"
"PI","1.24"
"Não Respondidos", "13.98","45"

"1.1- País:","PERCENTUAL"
"Chilenos","2.27"
"Peru","2.27"
"Angola Br","2.27"
"Franca","2.27"
"Portugual","2.27"
"Alemanha br","2.27"
"Itália","2.27"
"Agentino","2.27"
"Colômbia","2.27"
"Roma","2.27"
"Romano","2.27"
"Chile","4.55"
"ARG","2.27"
"Suíço","2.27"
"Uruguai","4.55"
"Argentina","22.73"
"Suécia","2.27"
"Portugal","11.36"
"Polonia","2.27"
"Roma_ Br","2.27"
"Arg br","2.27"
"Argentina Buenos Aires","2.27"
"Usa br","2.27"
"França","2.27"
"Arg","2.27"
"Canada Br","2.27"
"Roma_ br","2.27"
"Agentina","4.55"
"",""

"2- Sexo:","PERCENTUAL"
"Feminino","43.87"
"Masculino","56.13"


"3- Qual a sua faixa etária?","PERCENTUAL"
"36 a 50 anos","31.42"
"Até 17 anos","0.55"
"26 a 35 anos","39.34"
"18 a 25 anos","16.12"
"51 a 65 anos","11.20"
"Acima de 65 anos","1.37"
"Não Respondidos", "0.27","1"

"4- Qual sua escolaridade?","PERCENTUAL"
"Pós-Graduação","16.89"
"Sem instrução formal","0.27"
"Técnico","5.18"
"Superior Incompleto","20.16"
"Médio Completo","11.72"
"Médio Incompleto","2.18"
"Fundamental Incompleto","1.63"
"Superior","41.14"
"Fundamental Completo","0.82"


"5- Qual sua profissão? (ocupação principal)*","PERCENTUAL"
"Aposentado/Pensionista","3.01"
"Empresário","10.11"
"Indústria","1.64"
"Do lar","0.82"
"Empregado público","4.64"
"E-commerce/Digital Influencer","3.01"
"Outros","13.66"
"Estudante","11.48"
"Professor","9.29"
"Autônomo","14.21"
"Iniciativa privada","15.03"
"Funcionário público","7.10"
"Comércio","6.01"
"Não Respondidos", "0.27","1"

"6- Qual moeda você recebe seus rendimentos?","PERCENTUAL"
"Euros","4.10"
"Outros","5.46"
"Dólar","1.37"
"Real","89.07"
"Não Respondidos", "0.27","1"

"6.1- Faixa de renda?","PERCENTUAL"
"R$8.801,00 a R$18.000,00","11.48"
"Até R$880,00","10.16"
"Acima de R$18.000,00","5.57"
"R$3.501,00 a R$8.800,00","28.85"
"R$881,00 a R$1.800,00","18.03"
"R$1.801,00 a R$3.500,00","25.90"
"Não Respondidos", "20.33","62"

"6.1- Valor mensal/anual:","PERCENTUAL"
"19600","3.70"
"36000","3.70"
"60000","7.41"
"15000","3.70"
"9000","11.11"
"16000","3.70"
"10000000","3.70"
"13000","3.70"
"1000000","3.70"
"10000","3.70"
"264000","3.70"
"13200","3.70"
"21600","3.70"
"12000","7.41"
"20000","3.70"
"900000","3.70"
"180000","3.70"
"0","7.41"
"40000","3.70"
"300000","3.70"
"6000","7.41"
"",""

"7- Qual seu estado civil?","PERCENTUAL"
"Casado(a)","42.23"
"União Estável","4.63"
"Outros","0.54"
"Solteiro(a)","44.69"
"Divorciado(a)","6.27"
"Viúvo(a)","1.63"


"8- Qual sua orientação sexual?","PERCENTUAL"
"Outros","0.55"
"Heterossexual","92.35"
"Homossexual","4.37"
"Bissexual","2.73"
"Não Respondidos", "0.27","1"

"9- Com quem está viajando?","PERCENTUAL"
"Companheiro(a)","27.52"
"Sozinho","10.08"
"Família","41.14"
"Grupos de trabalho","0.27"
"Amigos","20.71"
"Grupos de turismo","0.27"


"10- Com quantas pessoas está viajando?","PERCENTUAL"
"05- cinco","7.36"
"01- uma","24.80"
"Nenhuma","9.81"
"04- quatro","10.90"
"02- duas","20.98"
"Grupos","11.99"
"03- três","14.17"


"11- Quanto tempo passou ou está programado para passar nessa cidade?","PERCENTUAL"
"Dias","93.46"
"Meses","6.54"


"11.1- Quantos dias?","PERCENTUAL"
"4","7.87"
"5","8.75"
"15","9.33"
"30","1.46"
"6","4.37"
"1","8.45"
"29","0.29"
"14","0.87"
"2","9.04"
"11","0.58"
"25","1.17"
"18","0.29"
"8","6.71"
"7","13.99"
"12","2.04"
"9","0.87"
"10","8.16"
"28","0.29"
"21","0.87"
"3","13.12"
"20","1.17"
"40","0.29"
"Não Respondidos", "7.00","24"

"11.1- Quantos meses?","PERCENTUAL"
"4","4.35"
"3","17.39"
"2","13.04"
"30","4.35"
"10","4.35"
"1","52.17"
"8","4.35"
"",""

"12- Qual meio de transporte você utilizou para chegar até este destino?","PERCENTUAL"
"Avião Carro próprio","4.10"
"Avião Ônibus de linha","0.82"
"Transporte coletivo/van","0.27"
"Avião Transfer/receptivo","14.48"
"Carro próprio Ônibus fretado","0.27"
"Moto","0.82"
"Avião Ônibus fretado","0.55"
"Carro próprio Transporte coletivo/van","0.27"
"Ônibus de linha","4.37"
"Avião Transporte coletivo/van","4.64"
"Avião Outros","6.01"
"Avião Carro alugado Transfer/receptivo","0.27"
"Ônibus fretado","1.37"
"Avião Carro alugado","8.20"
"Avião Fretado (charter)","0.27"
"Carro próprio Outros","0.55"
"Avião Ônibus de linha Transporte coletivo/van","0.55"
"Avião","5.19"
"Carro alugado","1.37"
"Carro próprio","40.98"
"Carro próprio Moto","0.27"
"Carro alugado Carro próprio","0.27"
"Outros","0.55"
"Ônibus fretado Transporte coletivo/van","0.82"
"Moto Ônibus de linha","0.27"
"Avião Transporte coletivo/van Outros","0.27"
"Ônibus de linha Transporte coletivo/van","2.19"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus de linha","PERCENTUAL"
"0","91.80"
"1","8.20"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus fretado","PERCENTUAL"
"1","3.01"
"0","96.99"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro alugado","PERCENTUAL"
"1","10.11"
"0","89.89"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião Fretado (charter)","PERCENTUAL"
"1","0.27"
"0","99.73"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Outros","PERCENTUAL"
"1","7.38"
"0","92.62"
"Não Respondidos", "0.27","1"

