"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"Brasileiro","88.01"
"Estrangeiro","11.99"


"1.1- Estado:","PERCENTUAL"
"RN","16.77"
"MA","1.55"
"PE","7.76"
"SC","0.93"
"PB","15.53"
"MG","4.35"
"SP","12.11"
"RS","0.62"
"PI","1.24"
"SE","0.31"
"MT","1.55"
"BA","4.04"
"DF","2.48"
"RJ","4.66"
"PR","5.59"
"GO","6.21"
"CE","7.14"
"AL","0.62"
"MS","0.62"
"ES","1.24"
"AM","1.24"
"AC","0.93"
"PA","2.48"
"Não Respondidos", "13.98","45"

"1.1- País:","PERCENTUAL"
"Agentina","4.55"
"Franca","2.27"
"Suíço","2.27"
"Chile","4.55"
"Uruguai","4.55"
"Colômbia","2.27"
"Portugual","2.27"
"Peru","2.27"
"Agentino","2.27"
"Itália","2.27"
"Argentina","22.73"
"França","2.27"
"Chilenos","2.27"
"Canada Br","2.27"
"Usa br","2.27"
"Arg br","2.27"
"Romano","2.27"
"Roma_ Br","2.27"
"Argentina Buenos Aires","2.27"
"Polonia","2.27"
"Arg","2.27"
"Roma","2.27"
"Alemanha br","2.27"
"Roma_ br","2.27"
"Suécia","2.27"
"ARG","2.27"
"Angola Br","2.27"
"Portugal","11.36"
"",""

"2- Sexo:","PERCENTUAL"
"Masculino","56.13"
"Feminino","43.87"


"3- Qual a sua faixa etária?","PERCENTUAL"
"Acima de 65 anos","1.37"
"36 a 50 anos","31.42"
"18 a 25 anos","16.12"
"Até 17 anos","0.55"
"26 a 35 anos","39.34"
"51 a 65 anos","11.20"
"Não Respondidos", "0.27","1"

"4- Qual sua escolaridade?","PERCENTUAL"
"Fundamental Incompleto","1.63"
"Médio Completo","11.72"
"Pós-Graduação","16.89"
"Superior","41.14"
"Técnico","5.18"
"Superior Incompleto","20.16"
"Médio Incompleto","2.18"
"Sem instrução formal","0.27"
"Fundamental Completo","0.82"


"5- Qual sua profissão? (ocupação principal)*","PERCENTUAL"
"Iniciativa privada","15.03"
"Estudante","11.48"
"Do lar","0.82"
"Empregado público","4.64"
"Outros","13.66"
"Funcionário público","7.10"
"E-commerce/Digital Influencer","3.01"
"Comércio","6.01"
"Empresário","10.11"
"Aposentado/Pensionista","3.01"
"Autônomo","14.21"
"Professor","9.29"
"Indústria","1.64"
"Não Respondidos", "0.27","1"

"6- Qual moeda você recebe seus rendimentos?","PERCENTUAL"
"Real","89.07"
"Dólar","1.37"
"Outros","5.46"
"Euros","4.10"
"Não Respondidos", "0.27","1"

"6.1- Faixa de renda?","PERCENTUAL"
"R$8.801,00 a R$18.000,00","11.48"
"Acima de R$18.000,00","5.57"
"Até R$880,00","10.16"
"R$881,00 a R$1.800,00","18.03"
"R$1.801,00 a R$3.500,00","25.90"
"R$3.501,00 a R$8.800,00","28.85"
"Não Respondidos", "20.33","62"

"6.1- Valor mensal/anual:","PERCENTUAL"
"15000","3.70"
"6000","7.41"
"10000","3.70"
"16000","3.70"
"1000000","3.70"
"264000","3.70"
"13000","3.70"
"10000000","3.70"
"13200","3.70"
"300000","3.70"
"12000","7.41"
"20000","3.70"
"900000","3.70"
"60000","7.41"
"21600","3.70"
"0","7.41"
"180000","3.70"
"9000","11.11"
"19600","3.70"
"36000","3.70"
"40000","3.70"
"",""

"7- Qual seu estado civil?","PERCENTUAL"
"Viúvo(a)","1.63"
"Divorciado(a)","6.27"
"União Estável","4.63"
"Outros","0.54"
"Casado(a)","42.23"
"Solteiro(a)","44.69"


"8- Qual sua orientação sexual?","PERCENTUAL"
"Heterossexual","92.35"
"Outros","0.55"
"Bissexual","2.73"
"Homossexual","4.37"
"Não Respondidos", "0.27","1"

"9- Com quem está viajando?","PERCENTUAL"
"Amigos","20.71"
"Sozinho","10.08"
"Companheiro(a)","27.52"
"Família","41.14"
"Grupos de trabalho","0.27"
"Grupos de turismo","0.27"


"10- Com quantas pessoas está viajando?","PERCENTUAL"
"01- uma","24.80"
"03- três","14.17"
"Nenhuma","9.81"
"04- quatro","10.90"
"05- cinco","7.36"
"Grupos","11.99"
"02- duas","20.98"


"11- Quanto tempo passou ou está programado para passar nessa cidade?","PERCENTUAL"
"Dias","93.46"
"Meses","6.54"


"11.1- Quantos dias?","PERCENTUAL"
"6","4.37"
"30","1.46"
"8","6.71"
"21","0.87"
"14","0.87"
"40","0.29"
"9","0.87"
"29","0.29"
"4","7.87"
"5","8.75"
"2","9.04"
"7","13.99"
"1","8.45"
"3","13.12"
"12","2.04"
"18","0.29"
"10","8.16"
"25","1.17"
"15","9.33"
"11","0.58"
"20","1.17"
"28","0.29"
"Não Respondidos", "7.00","24"

"11.1- Quantos meses?","PERCENTUAL"
"2","13.04"
"10","4.35"
"30","4.35"
"1","52.17"
"3","17.39"
"8","4.35"
"4","4.35"
"",""

"12- Qual meio de transporte você utilizou para chegar até este destino?","PERCENTUAL"
"Avião Transfer/receptivo","14.48"
"Outros","0.55"
"Ônibus de linha","4.37"
"Ônibus fretado","1.37"
"Avião Fretado (charter)","0.27"
"Avião Ônibus fretado","0.55"
"Avião Ônibus de linha Transporte coletivo/van","0.55"
"Avião Carro próprio","4.10"
"Avião Carro alugado","8.20"
"Ônibus de linha Transporte coletivo/van","2.19"
"Avião Transporte coletivo/van Outros","0.27"
"Avião","5.19"
"Avião Ônibus de linha","0.82"
"Carro próprio Outros","0.55"
"Carro próprio","40.98"
"Moto Ônibus de linha","0.27"
"Carro próprio Ônibus fretado","0.27"
"Avião Transporte coletivo/van","4.64"
"Carro alugado Carro próprio","0.27"
"Carro próprio Transporte coletivo/van","0.27"
"Carro alugado","1.37"
"Transporte coletivo/van","0.27"
"Ônibus fretado Transporte coletivo/van","0.82"
"Carro próprio Moto","0.27"
"Moto","0.82"
"Avião Outros","6.01"
"Avião Carro alugado Transfer/receptivo","0.27"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus de linha","PERCENTUAL"
"1","8.20"
"0","91.80"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus fretado","PERCENTUAL"
"1","3.01"
"0","96.99"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro alugado","PERCENTUAL"
"1","10.11"
"0","89.89"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião Fretado (charter)","PERCENTUAL"
"1","0.27"
"0","99.73"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Outros","PERCENTUAL"
"1","7.38"
"0","92.62"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro próprio","PERCENTUAL"
"1","46.72"
"0","53.28"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Moto","PERCENTUAL"
"1","1.37"
"0","98.63"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Transfer/receptivo","PERCENTUAL"
"1","14.75"
"0","85.25"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Transporte coletivo/van","PERCENTUAL"
"1","9.02"
"0","90.98"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião","PERCENTUAL"
"1","45.08"
"0","54.92"
"Não Respondidos", "0.27","1"

"12.1- Qual?","PERCENTUAL"
"Carona","11.11"
"Ubes","3.70"
"Amigo foi buscar","3.70"
"Carro de amigo","3.70"
"Uber","7.41"
"Taxi","70.37"
"",""

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?","PERCENTUAL"
"Carro/moto própria","38.50"
"Carro alugado","13.30"
"Outros","41.83"
"Carro alugado Outros","0.83"
"Carro alugado Moto táxi Outros","0.28"
"Buggy Quadriciclo","0.28"
"Carro/moto própria Outros","2.22"
"Buggy","0.28"
"Quadriciclo","0.83"
"Carro alugado Carro/moto própria","0.83"
"Moto táxi Outros","0.83"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Outros","PERCENTUAL"
"1","45.98"
"0","54.02"
"Não Respondidos", "1.66","6"

